x,y,doc_top_reduced_20,doc_top_reduced_19,doc_top_reduced_18,doc_top_reduced_17,doc_top_reduced_16,doc_top_reduced_15,doc_top_reduced_14,doc_top_reduced_13,doc_top_reduced_12,doc_top_reduced_11,doc_top_reduced_10,doc_top_reduced_9,doc_top_reduced_8,doc_top_reduced_7,doc_top_reduced_6,doc_top_reduced_5,doc_top_reduced_4,doc_top_reduced_3,doc_top_reduced_2
8.063369,-0.29164225,7,6,6,6,6,7,6,5,6,5,8,7,7,0,0,0,0,0,0
8.119796,-0.5414213,7,6,6,6,6,7,6,5,6,5,8,7,7,0,0,0,0,0,0
10.569654,5.1058135,6,7,8,8,7,6,8,8,8,8,7,5,5,5,5,0,0,0,0
11.484039,5.563009,6,7,8,8,7,6,8,8,8,8,7,5,5,5,5,0,0,0,0
11.507264,5.5894227,13,13,13,13,13,13,13,5,6,5,1,1,1,1,1,1,1,1,1
9.73268,4.619564,6,7,8,8,7,6,8,8,8,8,7,8,5,5,5,1,1,1,1
11.443298,5.8622165,13,13,13,13,13,13,13,8,8,1,1,1,1,1,1,1,1,1,1
17.212435,8.34843,0,0,0,0,15,14,0,0,0,0,0,0,0,6,0,0,0,0,0
17.237015,8.374131,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0
8.311768,-0.4634042,7,6,6,6,6,7,6,5,6,5,0,0,0,0,0,0,0,0,0
7.1295524,1.1689003,8,9,11,11,10,10,10,10,10,9,8,7,7,0,2,0,2,2,0
7.0785365,1.0435641,8,9,11,11,10,10,10,10,10,9,8,7,7,2,2,2,2,2,0
10.716518,4.1316066,15,16,4,5,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1
7.256767,0.009045645,8,9,11,11,10,10,10,10,10,9,8,7,7,0,0,0,0,0,0
5.0440655,-0.04782451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
7.0752616,0.54988146,8,9,11,11,10,10,10,10,10,9,8,7,7,5,5,0,0,2,0
5.4956355,3.2167027,10,10,12,12,12,11,11,11,11,9,8,7,7,0,0,0,0,0,0
6.977323,0.86037654,8,9,11,11,10,10,10,10,10,9,8,7,7,0,0,0,0,0,0
7.198767,1.5345608,8,9,11,11,10,10,10,10,10,9,8,7,7,2,2,2,2,2,0
5.004168,-0.06616861,0,9,11,11,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
6.558573,1.0683935,8,9,11,11,10,10,10,10,10,9,8,7,7,5,5,0,0,0,0
5.6208315,5.7626247,9,8,10,10,11,12,12,12,2,2,2,2,2,3,3,3,3,0,0
6.9310656,0.79980475,8,9,11,11,10,10,10,10,10,9,8,7,7,0,0,0,0,0,0
7.0116377,0.74330676,8,9,11,11,10,10,10,10,10,9,8,7,7,2,2,2,2,2,0
7.002069,0.6899198,8,9,11,11,10,10,10,10,10,9,8,7,7,0,5,0,0,0,0
7.517315,3.0515983,1,1,1,2,2,3,4,4,11,2,2,2,2,3,3,3,3,0,0
7.1598406,0.050138954,8,9,11,11,10,10,10,10,10,9,8,7,7,0,0,0,2,2,0
6.9567366,0.82294357,8,9,11,11,10,10,10,10,10,9,8,7,7,0,0,0,0,0,0
8.430886,2.0553102,16,15,16,15,14,2,3,3,4,4,3,3,3,2,2,2,2,2,0
6.8409133,-0.4435612,8,9,11,11,10,10,10,10,10,9,8,7,7,0,0,0,0,0,0
6.8608766,0.8902939,8,9,11,11,10,10,10,10,10,9,8,7,7,0,0,0,0,0,0
7.195249,-2.511424,3,3,5,4,5,5,5,6,5,6,5,6,6,6,0,0,0,0,0
15.142477,-1.5810127,2,2,2,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
14.1386385,-1.5591129,2,2,2,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
9.833776,5.643957,11,11,9,9,9,8,7,7,7,7,6,8,1,1,1,1,1,1,1
8.194932,4.0999203,16,15,16,15,14,2,3,3,4,4,3,3,3,2,2,2,2,2,0
14.25562,3.3403337,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
13.87351,3.5385091,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
7.6865277,1.0759706,8,9,11,11,10,10,10,10,10,9,8,7,7,0,0,0,0,0,0
8.21643,0.5471389,16,0,0,0,0,0,0,0,0,0,3,3,3,0,0,2,2,2,0
13.389355,-1.3489625,12,12,14,0,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
6.109018,3.1194696,10,10,12,12,12,11,11,11,11,0,0,0,0,0,0,0,0,0,0
11.668979,6.082782,13,13,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1,1
9.223827,-0.4748073,7,6,6,6,6,7,6,5,6,5,0,0,0,0,0,0,0,0,0
12.15504,-1.4260743,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
6.456569,3.117939,10,10,12,12,12,11,11,11,11,0,3,3,3,2,2,2,2,2,0
6.9437075,0.74715877,8,9,11,11,10,10,10,10,10,9,8,7,7,0,0,0,0,0,0
9.676203,-0.047141153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.241115,-0.837935,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
14.531744,-0.8365739,12,12,14,4,5,5,5,6,5,6,5,6,6,6,4,0,0,0,0
9.782594,0.5414942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.793977,0.5640094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.367802,2.9899738,10,10,12,12,12,11,11,11,11,0,0,5,5,5,5,0,0,0,0
7.1605144,-0.08072135,8,9,11,11,10,10,10,10,10,9,8,7,7,0,0,0,0,0,0
5.5613465,0.0114498,5,5,4,5,0,0,2,0,0,0,0,0,0,0,0,2,2,2,1
9.015422,1.2634895,7,6,6,6,6,7,6,5,6,5,0,0,0,0,0,2,2,2,0
7.717656,1.4564283,10,10,12,12,12,11,11,11,11,0,0,0,0,0,0,0,2,2,0
11.667708,5.5418415,13,13,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1,1
11.847977,5.9895625,13,13,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1,1
6.178978,2.970773,10,10,12,12,12,11,11,11,11,0,5,6,6,6,0,0,0,2,0
7.2930527,-2.4715242,3,3,5,4,5,5,5,6,5,6,5,6,6,6,0,0,0,0,0
7.7309656,-0.96541476,3,3,5,4,5,5,5,6,5,6,5,6,6,6,0,0,0,0,0
7.849673,-0.8713896,3,3,5,4,5,5,5,6,5,6,5,6,6,6,0,0,0,0,0
8.374173,4.7109847,16,15,16,15,14,2,3,3,4,4,3,3,3,2,2,2,2,2,0
4.800969,5.517205,9,8,10,10,11,12,12,12,0,2,2,2,2,3,0,3,0,0,0
8.675129,0.30054125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7908125,3.1970556,16,15,16,15,14,2,3,3,4,4,3,3,3,2,2,2,2,2,0
7.229004,1.1065459,8,9,11,11,10,10,10,10,10,9,8,7,7,2,2,2,2,2,0
8.345802,0.6130465,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0
14.829691,3.107863,3,3,5,4,5,5,5,6,5,6,5,6,6,6,0,0,0,0,0
14.727672,-2.3028667,2,2,2,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
6.6141148,-1.9806328,3,3,5,4,5,5,5,6,5,6,5,6,6,6,0,0,0,2,0
5.8650217,2.8604887,10,10,12,12,12,11,11,11,11,0,3,3,3,6,2,0,2,2,0
7.919339,1.6744183,0,0,0,0,14,2,3,3,4,4,3,3,3,2,2,2,2,2,0
8.695695,0.09789689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.339801,-1.6513863,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
12.546992,2.568865,11,11,9,9,9,8,7,7,7,7,6,8,0,1,1,1,1,1,1
9.631819,3.9733531,5,5,4,5,4,2,3,3,4,4,3,3,3,2,2,2,2,2,0
9.923199,2.9174201,18,5,4,5,4,2,3,3,4,4,3,3,3,2,2,2,2,2,0
7.4490366,0.8117405,8,9,11,11,10,10,10,10,10,9,8,7,7,2,2,2,2,2,0
7.936762,3.5364566,16,15,16,15,14,2,3,3,4,4,3,3,3,2,2,2,2,2,0
12.548616,1.044582,7,6,6,6,6,7,6,5,6,5,2,2,2,3,3,3,3,0,0
11.662964,5.690125,13,13,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1,1
9.53258,0.4250287,7,6,6,6,6,7,6,5,6,5,0,0,0,0,0,0,0,0,0
10.778545,2.1335897,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.887818,2.010825,18,11,9,9,9,8,7,7,7,7,6,8,0,1,1,1,1,1,1
8.06898,3.354404,16,15,16,15,14,2,3,3,4,4,3,3,3,2,2,2,2,2,0
11.6371565,3.1636114,11,11,9,9,9,8,7,7,7,7,6,8,1,1,1,1,1,1,1
15.289002,4.1499524,19,18,6,6,6,7,2,5,6,5,1,1,1,1,1,1,1,1,1
6.7550745,-2.025847,3,3,5,4,5,5,5,6,5,6,5,6,6,6,0,0,2,2,0
9.293923,-1.5742397,14,14,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.280396,0.0078048287,0,0,0,0,5,5,5,6,5,0,5,6,6,6,0,0,0,0,0
13.960525,-1.3979486,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
13.923485,-1.3457247,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
13.9049,-1.3415835,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
14.158555,-1.8997817,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
7.855902,2.0058675,16,15,16,15,14,2,3,3,4,4,3,3,3,2,2,2,2,2,0
7.914897,2.0857408,16,15,16,15,14,2,3,3,4,4,3,3,3,2,2,2,2,2,0
7.7835374,1.5512187,16,15,16,15,14,2,3,3,4,4,3,3,3,2,2,2,2,2,0
7.592394,1.4383068,16,15,16,15,14,10,10,10,10,9,8,7,7,0,0,0,0,2,0
8.217072,0.8838443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.98611,7.266706,1,1,1,2,2,3,4,4,2,2,2,2,2,3,3,3,3,0,0
9.607857,0.122730225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.212848,-0.44361877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.985414,-1.6425654,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
